Link To Home,End Auction Time,Price,Location,Postal Code,Perperty Value,Low Range,High Range,Confidence
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£153,000"," £134,000 "," £172,000",59%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£129,000"," £119,000 "," £138,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£129,000"," £119,000 "," £138,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£115,000"," £107,000 "," £123,000",76%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£131,000"," £121,000 "," £141,000",75%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£146,000"," £140,000 "," £152,000",91%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£129,000"," £120,000 "," £139,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£122,000"," £117,000 "," £127,000",94%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£129,000"," £120,000 "," £139,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£130,000"," £121,000 "," £139,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£117,000"," £112,000 "," £122,000",91%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£131,000"," £121,000 "," £140,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£130,000"," £121,000 "," £139,000",74%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£148,000"," £138,000 "," £157,000",80%
https://online.sdlauctions.co.uk/lot/redirect/84599,19d 21h 28m 47s,"£68,000","144 Hilton Road, Lanesfield, Wolverhampton, West Midlands",WV4 6BY,"£177,000"," £154,000 "," £200,000",58%
